initial_trust_mean,mobility,ddem_size,decay_rounds,share_trusting,avg_final_trust,std_final_trust,avg_ddem_occupancy,avg_refused_interactions,avg_decayed_entries
0.5,1,5,50,0.0,0.0,0.0,0.0,4241.15,4141.35
0.5,1,10,50,0.0,0.0,0.0,0.0,4265.55,4588.55
0.5,1,15,50,0.0,0.0,0.0,0.0,4265.55,4589.0
0.5,2,5,50,0.0,0.0,0.0,0.0,3029.55,4270.25
0.5,2,10,50,0.0,0.0,0.0,0.0,3060.7,5112.4
0.5,2,15,50,0.0,0.0,0.0,0.0,3060.7,5115.3
0.5,5,5,50,0.0,0.0,0.0,0.0,1793.15,4111.95
0.5,5,10,50,0.0,0.0,0.0,0.0,1826.15,5316.8
0.5,5,15,50,0.0,0.0,0.0,0.0,1826.15,5335.7
0.5,10,5,50,0.0,0.0,0.0,0.0,1247.55,3999.55
0.5,10,10,50,0.0,0.0,0.0,0.0,1279.65,5350.75
0.5,10,15,50,0.0,0.0,0.0,0.0,1279.95,5382.75
